Регион,Адрес,Название,Цена,Контактов / мес,"Интенсивность выхода, каждые N мин",Часы работы,Выходов / мес,lat,lon
Ленинградская обл,"д. Разметелево, ул. Разметелевская, 86",Светофор,8420.0,12000,15,08:00 - 22:00,1568,59.895831,30.68203
Ленинградская обл,"г. Кировск, ул. Магистральная, 54а",Светофор,8420.0,24600,15,09:00 - 21:00,1344,59.895132,30.99698
Ленинградская обл,"г. Выборг, ул. Батальонная, 1",Светофор,8420.0,13500,15,09:00 - 21:00,1344,60.722123,28.718897
Ленинградская обл,"п. Ропша, ш. Красносельское, 46",Светофор,8420.0,21500,15,09:00 - 21:00,1344,59.721025,29.850343
Ленинградская обл,"с. Федоровское, ул. Почтовая, 15а",Светофор,8420.0,14215,15,09:00 - 21:00,1344,59.662935,30.539638
Ленинградская обл,"г. Гатчина, ул. Старая дорога, 5",Светофор,8420.0,12079,15,09:00 - 21:00,1344,59.547834,30.093346
Ленинградская обл,"г. Гатчина, Ленинградское шоссе, 15",Светофор,8420.0,11584,15,09:00 - 21:00,1344,59.585088,30.144452
Ленинградская обл,"г. Коммунар, ул. Станционная, 34",Светофор,8420.0,13125,15,09:00 - 21:00,1344,59.647892,30.428283
Санкт-Петербург,"п. Сестрорецк, ш. Левашовское, 15В",Светофор,8420.0,12500,15,09:00 - 21:00,1344,60.03825,30.000577
Ленинградская обл,"п. им. Свердлова, ул. Овцинская, 66е",Светофор,8420.0,11800,15,09:00 - 21:00,1344,59.80955,30.618852
Ленинградская обл,"г. Отрадное, Ленинградское ш., 124",Светофор,8420.0,15200,15,09:00 - 21:00,1344,59.763529,30.739729
Санкт-Петербург,"ул. Юных Пионеров, 38",Светофор,8420.0,15000,15,09:00 - 21:00,1344,59.731781,30.071751
Санкт-Петербург,"ш. Кингисеппское, 50",Светофор,8420.0,15000,15,09:00 - 21:00,1344,59.717418,30.053677
Ленинградская обл,"г. Всеволожск, пр. Всеволожский, 119 к.1",Светофор,8420.0,21000,15,09:00 - 21:00,1344,59.996389,30.651874
Ленинградская обл,"п. Янино-1, ул. Шоссейная, 22",Светофор,8420.0,12800,15,09:00 - 21:00,1344,59.946009,30.554146
Ленинградская обл,"д. Антелево, ул. Чудская, 20",Светофор,8420.0,13488,15,09:00 - 21:00,1344,59.6086,30.34624
Ленинградская обл,"г. Сертолово, ул. Связистов, 2",Светофор,8420.0,12400,15,09:00 - 21:00,1344,60.12364,30.229055
Санкт-Петербург,"ул. Александра Товпеко, 9",Светофор,8420.0,12000,15,09:00 - 21:00,1344,59.78372,30.628455
Санкт-Петербург,"п. Шушары, ул. Школьная, 169А",Светофор,8420.0,12000,15,09:00 - 21:00,1344,59.794148,30.370252
Ленинградская обл,"г. Петергоф, ул. 1 Мая, 89Б",Светофор,8420.0,13300,15,09:00 - 21:00,1344,59.883896,29.833652
Санкт-Петербург,"п. Шушары, тер. Ленсоветовский, 31",Светофор,8420.0,10500,15,09:00 - 21:00,1344,59.756705,30.466578
Санкт-Петербург,"пр. Ириновский, 24 к. 1",Светофор,8420.0,18000,15,09:00 - 21:00,1344,59.958809,30.474897
Ленинградская обл,"п. Аннино, ул. Садовая, 47",Светофор,8420.0,16200,15,09:00 - 21:00,1344,59.776079,30.049572
Ленинградская обл,"д. Новое Девяткино, 21",Светофор,8420.0,15000,15,09:00 - 21:00,1344,60.055574,30.47231
Санкт-Петербург,"Финляндская ул., 13 к.3",Светофор,8420.0,15000,15,09:00 - 21:00,1344,59.753627,30.570864
Санкт-Петербург,"пр. Маршака, 12, стр. 1",Светофор,8420.0,18000,15,09:00 - 21:00,1344,60.031971,30.448774
Ленинградская обл,"г. Бугры, ул. Шоссейная, 1а",Светофор,8420.0,15500,15,09:00 - 21:00,1344,60.063348,30.394821
