Регион,Адрес,Название,Цена,Контактов / мес,"Интенсивность выхода, каждые N мин",Часы работы,Выходов / мес,lat,lon
Можайск,"пгт. Уваровка, Привокзальная площадь, 4а",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.531422,35.610458
Первоуральск,"г. Первоуральск, ул. Гагарина, 1",Верный,7720.0,30000,15,08:00 - 22:00,1568,56.892753,59.950939
Москва,"ул. Коломенская, 9/4",Верный,17980.0,30000,15,08:00 - 22:00,1568,55.679544,37.702328
Кингисепп,"г. Кингисепп, ул. Октябрьская, 19",Верный,8420.0,30000,15,08:00 - 22:00,1568,59.372768,28.613749
Жуковский,"г. Жуковский, ​Больничный городок​, ул. Фрунзе, 1б",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.598558,38.129909
Татарстан Респ,"с. Верхний Услон, ул. Печищинский тракт, 3а",Верный,7290.0,30000,15,08:00 - 22:00,1568,55.768081,48.961758
Коломна,"г. Коломна, пгт. Сергиевский, ул. Ленина, 12",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.096322,38.851498
Верхняя Пышма,"г. Верхняя Пышма, ул. Ленина, 101",Верный,7720.0,30000,15,08:00 - 22:00,1568,56.97495,60.565845
Татарстан Респ,"с. Кирби, ул. Молодёжная, 13г",Верный,7290.0,30000,15,08:00 - 22:00,1568,55.566374,49.318012
Электрогорск,"г. Электрогорск, ул. Советская, 13",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.8784,38.787116
Домодедово,"г. Домодедово, д. Кутузово, ул. Верхняя, 15/1",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.36885,37.894262
Домодедово,"г. Домодедово, д. Чулпаново, 1",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.400067,37.633778
Московская обл,"г. Наро-Фоминск, д. Пожитково, 30",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.421859,36.818898
Московская обл,"г. Раменское, д. Какузево, ул. Светлая, 20",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.512271,38.076881
Московская обл,"г. Чехов, д. Кулаково, 105б",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.089341,37.449147
Московская обл,"г. Чехов, д. Хлевино, 52а",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.171211,37.34011
Татарстан Респ,"с. Гильдеево, ул. Казанская, 41а",Верный,7290.0,30000,15,08:00 - 22:00,1568,55.748848,49.405508
Московская обл,"г. Серпухов, тер. Нефедово-2, 1",Верный,10210.0,30000,15,08:00 - 22:00,1568,54.951203,37.4864
Московская обл,"д. Волково, ул. Приозерная, 2а",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.766982,36.260281
Татарстан Респ,"с. Державино, ул. Заббарова, 46",Верный,7290.0,30000,15,08:00 - 22:00,1568,55.551813,49.564968
Ефремов,"г. Ефремов, ул. Мира, 2г",Верный,7130.0,30000,15,08:00 - 22:00,1568,53.150312,38.087131
Московская обл,"п. Нахабино, ул. Володарского, 3/5",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.859595,37.185501
Луга,"г. Луга, ул. Кингиссепа, 13",Верный,8420.0,30000,15,08:00 - 22:00,1568,58.732773,29.8509
Калужская обл,"с. Недельное, ул. А.П. Лысенко, 3",Верный,7780.0,30000,15,08:00 - 22:00,1568,54.838333,36.650248
Татарстан Респ,"с. Новое Шигалеево, ул. Г. Тукая, 11",Верный,7290.0,30000,15,08:00 - 22:00,1568,55.809449,49.433311
Московская обл,"д. Хлюпино, ул. Заводская, 3а",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.67257,36.956727
Ленинградская обл,"п. Отделение совхоза Кикерино, Гатчинское ш., 1",Верный,8420.0,30000,15,08:00 - 22:00,1568,59.465828,29.613565
Тверская обл,"пгт. Фирово, ул. Советская, 14",Верный,6430.0,30000,15,08:00 - 22:00,1568,57.48302,33.700487
Свердловская обл,"пос. Габиевский, коттеджный пос. Заповедник, ул. Центральная, 6",Верный,7720.0,30000,15,08:00 - 22:00,1568,56.543309,60.932753
Московская обл,"п. Нахабино, ул. Стартовая, 2",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.850919,37.199029
Московская обл,"с. Атепцево, пос. Леспромхоза, 22/1",Верный,10210.0,30000,15,08:00 - 22:00,1568,55.36268,36.755998
Владимирская обл,"с. Второво, ул. Советская, 21а",Верный,6320.0,30000,15,08:00 - 22:00,1568,56.263562,40.797465
Калужская обл,"д. Совьяки, тер. Торговая площадка, 1",Верный,7780.0,30000,15,08:00 - 22:00,1568,55.272175,36.480332
Тульская обл,"д. Скрипово, 100",Верный,7130.0,30000,15,08:00 - 22:00,1568,54.736779,37.35354
Свердловская обл,"п. Баженово, ул. Западная, 5",Верный,7720.0,30000,15,08:00 - 22:00,1568,56.733437,61.365265
Татарстан Респ,"с. Сингели, ул. Клубная, 65",Верный,7290.0,30000,15,08:00 - 22:00,1568,55.387233,49.300459
Санкт-Петербург,"г. Пушкин, ул. Новодеревенская, 17а",Верный,8420.0,30000,15,08:00 - 22:00,1568,59.722463,30.437365
Екатеринбург,"ул. Таганская, 60а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.90833,60.629643
Таганрог,"г. Таганрог, ул. Чучева, 38",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.21616,38.861371
Оренбургская обл,"г. Орск, пр-кт Ленина, 168",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.262373,58.43708
Ярославль,"пр-кт Фрунзе, 56д",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.575536,39.912939
Ярославль,"ш. Тутаевское, 1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.670243,39.837974
Ярославль,"пр-кт Московский, 108",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.576776,39.843122
Ярославль,"пр-кт Ленинградский, 54а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.690761,39.779081
Ярославль,"пр-кт Авиаторов, 149",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.65632,39.943679
Юрга,"г. Юрга, ул. Волгоградская, 29",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.708191,84.899167
Энгельс,"г. Энгельс, пр-кт Химиков, 1/5",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.463072,46.143402
Энгельс,"г. Энгельс, ул. Красноярская, 5б",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.497215,46.092234
Шахты,"пр-кт Александровск-Грушевский, 13",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.721483,40.275526
Черкесск,"ул. Ленина, 387ж",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,44.195416,42.03829
Череповец,"пр-кт Шекснинский, 2",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.092372,37.917637
Череповец,"ш. Кирилловское, 50а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.147482,37.931057
Челябинск,"ул. Энергетиков, 21б",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.134785,61.453039
Челябинск,"ул. Труда, 166",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.170794,61.374526
Челябинск,"пр-кт Комсомольский, 113",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.185497,61.285871
Челябинск,"ул. Братьев Кашириных, 133",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.171987,61.305284
Челябинск,"ул. Черкасская, 23",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.227889,61.377293
Челябинск,"ш. Копейское, 64",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.145447,61.451979
Челябинск,"ул. Братьев Каширных, 75",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.175236,61.376197
Челябинск,"ул. Блюхера, 126",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.108508,61.349472
Челябинск,"ул. Академика Сахарова, 15",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.159244,61.293426
Челябинск,"ул. Артиллерийская, 136",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.163513,61.430931
Чебоксары,"пр-кт Тракторостроителей, 76",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.108984,47.330256
Ханты-Мансийск,"ул. Объездная, 9",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,61.002774,68.988907
Уфа,"ул. Ферина, 29",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.778461,56.132659
Уфа,"ул. Пархоменко, 156",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.740667,55.96868
Уфа,"ул. Сипайловская, 1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.764636,56.04254
Уфа,"ул. Бельская, 70",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.696173,55.971519
Уфа,"ул. Бакалинская, 27",ЛЕНТА Гипермаркет,30000.0,120000,15,05:31 - 23:59,2016,54.717329,55.984608
Ульяновск,"пр-кт Созидателей, 112",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.362143,48.571629
Ульяновск,"пр-кт Олимпийский, 6",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.28613,48.277044
Улан-Удэ,"пр-кт Автомобилистов, 4а/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.834481,107.65997
Тюмень,"ул. Мельникайте, 139",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.115574,65.545072
Тюмень,"Тобольский тр., 101",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.173089,65.67407
Тюмень,"ул. Республики, 291",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.104029,65.661125
Тюмень,"ул. Народная, 76",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.093272,65.599968
Тюмень,"ул. Алебашевская, 19",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.169975,65.567341
Томск,"ул. Пушкина, 59",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.498778,84.984965
Томск,"пр-кт Мира, 30",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.51232,84.969819
Томск,"ул. Елизаровых, 13",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.456368,84.980329
Тольятти,"г. Тольятти, ш. Южное, 4",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.549056,49.360008
Тольятти,"г. Тольятти, ул. Громовой, 25",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.488157,49.476529
Тобольск,"г. Тобольск, 15-й микрорайон, 21",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,58.222283,68.300438
Тверь,"ш. Московское, 16/3",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.843255,35.947955
Тамбов,"ул. Чичерина, 3",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,52.772183,41.409235
Таганрог,"г. Таганрог, ул. Большая Бульварная, 15",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.245641,38.891644
Таганрог,"г. Таганрог, ул. 2-я Советская, 74б",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.230841,38.874531
Сыктывкар,"ш. Сысольское, 27",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,61.645703,50.828529
Сыктывкар,"пр-кт Октябрьский, 141",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,61.69858,50.801849
Сургут,"г. Сургут, Югорский тракт, 38",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,61.239371,73.37362
Сургут,"г. Сургут, Югорский тракт, 2",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,61.273682,73.347021
Сургут,"г. Сургут, ул. 30 лет Победы, 74",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,61.257552,73.456939
Стерлитамак,"г. Стерлитамак, ул. Худайбердина, 120",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.628576,55.940365
Ставропольский край,"с. Верхнерусское, ул. Батайская, 2а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,45.109741,41.950255
Ставрополь,"ул. Доваторцев, 75а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,44.997477,41.923153
Смоленск,"ул. 25 Сентября, 35а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.769103,32.081749
Саратов,"ул. Усть-Курдюмская, 73",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.582251,46.10437
Саратов,"ул. им. Ф. А. Блинова, 50",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.598315,46.003633
Саратов,"ул. Верхняя, 17",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.510328,45.974941
Саранск,"ул. Волгоградская, 71",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.185636,45.216924
Санкт-Петербург,"г. Красное Село, ул. Восстановления, 17/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.724491,30.084013
Санкт-Петербург,"пр-кт Юрия Гагарина, 34/2б",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.846364,30.339835
Санкт-Петербург,"пр-кт Шуваловский, 45а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,60.029625,30.238838
Санкт-Петербург,"пер. Урхов, 7а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.893046,30.281238
Санкт-Петербург,"ул. Хасанская, 17а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.934488,30.497543
Санкт-Петербург,"ул. Савушкина, 112а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.985034,30.224725
Санкт-Петербург,"ул. Шереметьевская, 11а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.808152,30.320396
Санкт-Петербург,"ул. Уральская, 29/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.956322,30.244317
Санкт-Петербург,"ул. Руставели, 61",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,60.031463,30.434913
Санкт-Петербург,"ул. Коллонтай, 10",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.91683,30.452304
Санкт-Петербург,"ул. Бухарестская, 69а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.849754,30.397983
Санкт-Петербург,"ул. Симонова, 13/2",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,60.061232,30.329037
Санкт-Петербург,"п. Шушары, Московское ш., 16а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.798661,30.399232
Санкт-Петербург,"п. Шушары, Колпинское ш., 32/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.73594,30.471528
Санкт-Петербург,"ул. Планерная, 17а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.998715,30.237059
Санкт-Петербург,"пр-кт Пискаревский, 59а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.98967,30.439386
Санкт-Петербург,"д. Парголово, Выборгское ш., 216а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,60.074949,30.272381
Санкт-Петербург,"ул. Парашютная, 60а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,60.039139,30.23961
Санкт-Петербург,"пр-кт Обуховской обороны, 305а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.840917,30.483979
Санкт-Петербург,"​Набережная Обводного канала, 118/7а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.907022,30.302474
Санкт-Петербург,"пр-кт Лиговский, 283а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.897221,30.334032
Санкт-Петербург,"д. Старо-Паново, ш. Таллинское, 159а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.807057,30.162238
Санкт-Петербург,"пр-кт Дальневосточный, 16",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.909878,30.449537
Санкт-Петербург,"Выборгское ш., 11а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,60.047056,30.315033
Санкт-Петербург,"ул. Вербная, 21а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,60.022544,30.293249
Санкт-Петербург,"Брантовская дорога, 3",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.94015,30.418366
Санкт-Петербург,"ул. Бабушкина, 125а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.859714,30.467629
Санкт-Петербург,"пр-кт Энергетиков, 16а",ЛЕНТА Гипермаркет Эконом,30000.0,120000,15,05:31 - 23:59,2016,59.94686,30.434536
Санкт-Петербург,"пр-кт Будённого, 31/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.851697,30.093319
Самара,"ул. Казачья, 34а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.156738,50.076253
Самара,"ул. Физкультурная, 141",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.221058,50.277404
Самара,"ш. Московское, 205",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.258071,50.236243
Самара,"ул. Красноармейская, 131",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.186668,50.128095
Самара,"ул. Аэродромная, 47а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.19133,50.188929
Рязань,"ул. Тимуровцев, 3а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.617607,39.78827
Рязань,"12-й район, 131",ЛЕНТА Гипермаркет Эконом,30000.0,120000,15,08:00 - 22:00,1568,54.643577,39.716064
Рязань,"ш. Солотчинское, 11",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.632994,39.773269
Аксай,"г. Аксай, пр-кт Аксайский, 2",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.270361,39.826197
Ростов-на-Дону,"ул. Доватора, 267",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.236256,39.597855
Ростов-на-Дону,"пр-кт Михаила Нагибина, 17",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.247586,39.711698
Ростов-на-Дону,"ул. 14-я линия, 84",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.240869,39.750721
Псков,"ул. Труда, 54",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.840474,28.35075
Псков,"Рижский пр-кт, 96б",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.80502,28.268383
Прокопьевск,"пр-кт Строителей, 18",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.874986,86.622674
Петрозаводск,"ул. Ленинградская, 13",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,61.794756,34.354909
Петрозаводск,"пр-кт Комсомольский, 27",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,61.755808,34.36091
Пенза,"ул. Антонова, 18в",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.186345,45.071325
Пермь,"ул. Революции, 13",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,58.007761,56.262699
Пермь,"ул. Мира, 41/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.977689,56.188759
Пермь,"ул. Борчанинова, 13",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,58.0048,56.220676
Пермь,"ш. Космонавтов, 162б",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.972062,56.150517
Пермь,"ул. Героев Хасана, 105",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.965164,56.264028
Пермь,"пр-кт Парковый, 66",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.996473,56.174422
Пермь,"б-р Гагарина, 65",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,58.005453,56.28663
Березники,"г. Березники, ул. Мира, 82",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,59.409112,56.851886
Пенза,"пр-кт Строителей, 2б",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.217074,44.94911
Оренбург,"ул. Чкалова, 51",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.769269,55.133454
Оренбург,"ул. Рокоссовского, 2",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.813812,55.109657
Оренбург,"Нежинское ш., 2в",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.772959,55.200154
Оренбург,"Загородное ш., 36/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,51.831297,55.173941
Орел,"Московское ш., 56",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,52.989933,36.125839
Омск,"ул. 70 лет Октября, 25",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.976855,73.337427
Омск,"ул. 21-я Амурская, 21",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.035756,73.416029
Омск,"с. Пушкино, Красноярский тр., 22а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.049426,73.332396
Омск,"пр-кт Сибирский, 7",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.913174,73.459643
Омск,"ул. Лукашевича, 33",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.007236,73.294406
Омск,"ул. 10 Лет Октября, 190/2",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.990096,73.488335
Ноябрьск,"г. Ноябрьск, ул. Цоя, 22",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,63.215441,75.456921
Новошахтинск,"г. Новошахтинск, ул. Харьковская, 201",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.785364,39.910001
Новочеркасск,"ул. Гагарина, 2б",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,47.436371,40.102744
Новосибирск,"пр-зд Энергетиков, 9",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.009099,82.877427
Новосибирск,"ул. Мясниковой, 29",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.105202,82.934345
Новосибирск,"ул. Большевистская, 52/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.994992,82.965884
Новосибирск,"ул. Петухова, 73",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.941896,82.92343
Новосибирск,"ул. Кирзаводская, 1а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.97067,82.855059
Новосибирск,"ш. Гусинобродское, 64",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.037314,83.016046
Новосибирск,"ш. Бердское, 2",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,54.970148,83.037238
Новороссийск,"с. Цемдолина, ул. Ленина, 7ж",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,44.747027,37.729053
Новороссийск,"г. Новороссийск, ул. Григорьева, 1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,44.669475,37.780149
Новокузнецк,"ул.Транспортная, 136",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.757888,87.17486
Новокузнецк,"ул. Хлебозаводская, 19",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.776,87.116415
Новокузнецк,"с. Ильинка, ул. Светлая, 7",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.894097,87.145206
Новокузнецк,"ул. Зорге, 7а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,53.779362,87.279936
Нижний Тагил,"г. Нижний Тагил, пр-кт Уральский, 75",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.872471,59.960686
Нижний Тагил,"г. Нижний Тагил, ш. Свердловское, 31а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,57.874701,60.016489
Нижний Новгород,"ул. Ореховская, 15/1",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.212399,43.820296
Нижний Новгород,"ул. Коминтерна, 11",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.340001,43.884346
Нижний Новгород,"ул. Родионова, 200",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.300969,44.082523
Нижний Новгород,"ш. Московское, 30в",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,56.317477,43.923198
Нижнекамск,"г. Нижнекамск, ул. Лесная, 14",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.659109,51.847407
Нижневартовск,"ул. Кузоваткина, 17",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,60.940708,76.546209
Набережные Челны,"пр-кт Набережночелнинский,13а",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.705173,52.34211
Набережные Челны,"пр-кт Автозаводский, 62",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.744419,52.453609
Мурманск,"ул. Шевченко, 34",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,68.90871,33.101104
Мурманск,"ул. Радищева, 2",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,68.957831,33.104472
Троицк,"д. Красная Пахра, Калужское ш. 42-й км, 6",ЛЕНТА Гипермаркет,30000.0,120000,15,08:00 - 22:00,1568,55.455494,37.289355
